"","subunit_1","subunit_2"
"GFRA4_RET_1","gfra4a","ret"
"GFRA4_RET_2","gfra4b","ret"
"CRFB2_CRFB4","crfb2","crfb4"
"CRFB15_CRFB4","crfb15","crfb4"
"CRFB16_CRFB4","crfb16","crfb4"
"IFNGR1L_CRFB4","ifngr1l","crfb4"
"IFNGR2_CRFB4","ifngr2","crfb4"
"IFNGR1_CRFB4","ifngr1","crfb4"
"IFNLR1_CRFB4","ifnlr1","crfb4"
"LIFRB_GHRB","lifrb","ghrb"
"LIFRB_LIFRB","lifrb","lifrb"
"LIFRB_LIFRA","lifrb","lifra"
"LIFRB_GHRA","lifrb","ghra"
"LIFRB_IL11RA","lifrb","il11ra"
"LIFRB_IL6R","lifrb","il6r"
"LIFRB_IL23R","lifrb","il23r"
"LIFRA_GHRB","lifra","ghrb"
"LIFRA_LIFRB","lifra","lifrb"
"LIFRA_LIFRA","lifra","lifra"
"LIFRA_GHRA","lifra","ghra"
"LIFRA_IL11RA","lifra","il11ra"
"LIFRA_IL6R","lifra","il6r"
"LIFRA_IL23R","lifra","il23r"
"GHRA_GHRB","ghra","ghrb"
"GHRA_LIFRB","ghra","lifrb"
"GHRA_LIFRA","ghra","lifra"
"GHRA_GHRA","ghra","ghra"
"GHRA_IL11RA","ghra","il11ra"
"GHRA_IL6R","ghra","il6r"
"GHRA_IL23R","ghra","il23r"
"GHRB_GHRB","ghrb","ghrb"
"GHRB_LIFRB","ghrb","lifrb"
"GHRB_LIFRA","ghrb","lifra"
"GHRB_GHRA","ghrb","ghra"
"GHRB_IL11RA","ghrb","il11ra"
"GHRB_IL6R","ghrb","il6r"
"GHRB_IL23R","ghrb","il23r"
"CSF2RB_GHRB","csf2rb","ghrb"
"CSF2RB_IL2RGA","csf2rb","il2rga"
"CSF2RB_IL2RGB","csf2rb","il2rgb"
"CSF2RB_LIFRB","csf2rb","lifrb"
"CSF2RB_LIFRA","csf2rb","lifra"
"CSF2RB_GHRA","csf2rb","ghra"
"CSF2RB_IL11RA","csf2rb","il11ra"
"CSF2RB_IL6R","csf2rb","il6r"
"IL2RB_GHRB","il2rb","ghrb"
"IL2RB_IL2RGA","il2rb","il2rga"
"IL2RB_IL2RGB","il2rb","il2rgb"
"IL2RB_LIFRB","il2rb","lifrb"
"IL2RB_LIFRA","il2rb","lifra"
"IL2RB_GHRA","il2rb","ghra"
"IL2RB_IL11RA","il2rb","il11ra"
"IL2RB_IL6R","il2rb","il6r"
"IL6R_GHRB","il6r","ghrb"
"IL6R_LIFRB","il6r","lifrb"
"IL6R_LIFRA","il6r","lifra"
"IL6R_GHRA","il6r","ghra"
"IL6R_IL11RA","il6r","il11ra"
"IL6R_IL6R","il6r","il6r"
"IL6R_IL23R","il6r","il23r"
"IL10RB_CRFB15","il10rb","crfb15"
"IL10RB_IL22RA2","il10rb","il22ra2"
"IL10RB_IFNGR1L","il10rb","ifngr1l"
"IL10RB_CRFB16","il10rb","crfb16"
"IL10RB_IFNGR2","il10rb","ifngr2"
"IL10RB_IL10RA","il10rb","il10ra"
"IL10RB_IFNGR1","il10rb","ifngr1"
"IL10RB_IFNLR1","il10rb","ifnlr1"
"IL11RA_GHRB","il11ra","ghrb"
"IL11RA_LIFRB","il11ra","lifrb"
"IL11RA_LIFRA","il11ra","lifra"
"IL11RA_GHRA","il11ra","ghra"
"IL11RA_IL11RA","il11ra","il11ra"
"IL11RA_IL6R","il11ra","il6r"
"IL11RA_IL23R","il11ra","il23r"
"IL15RA_IL2RB","il15ra","il2rb"
"IL15RA_CSF2RB","il15ra","csf2rb"
"IL15RA_IL21R1","il15ra","il21r.1"
"IL21R1_GHRB","il21r.1","ghrb"
"IL21R1_IL2RGA","il21r.1","il2rga"
"IL21R1_IL2RGB","il21r.1","il2rgb"
"IL21R1_LIFRB","il21r.1","lifrb"
"IL21R1_LIFRA","il21r.1","lifra"
"IL21R1_GHRA","il21r.1","ghra"
"IL21R1_IL11RA","il21r.1","il11ra"
"IL21R1_IL6R","il21r.1","il6r"
"IL22RA2_CRFB4","il22ra2","crfb4"
"MPL_GHRB","mpl","ghrb"
"MPL_IL2RG_1","mpl","il2rga"
"MPL_IL2RG_2","mpl","il2rgb"
"MPL_LIFRB","mpl","lifrb"
"MPL_LIFRA","mpl","lifra"
"MPL_GHRA","mpl","ghra"
"MPL_IL11RA","mpl","il11ra"
"MPL_IL6R","mpl","il6r"
"ITGA2B_ITGB3_1","itga2b","itgb3b"
"ITGA2B_ITGB3_2","itga2b","itgb3a"
"ITGA4_ITGB7","itga4","itgb7"
"ITGA6_ITGB4_1","itga6b","itgb4"
"ITGA6_ITGB4_2","itga6a","itgb4"
"ITGAE_ITGB7","itgae.2","itgb7"
"ITGAV_ITGB3_1","itgav","itgb3b"
"ITGAV_ITGB3_2","itgav","itgb3a"
"ITGAV_ITGB5","itgav","itgb5"
"ITGAV_ITGB6","itgav","itgb6"
"ITGAV_ITGB8","itgav","itgb8"
"ITGAX_ITGB2","itgax","itgb2"
"ITGAM_ITGB2","itgam","itgb2"
"KLRD1_KLRC1_1","si:ch211-193e13.5","si:ch211-193e13.5"
"KLRD1_KLRC1_2","si:ch211-193e13.5","si:ch211-170d8.8"
"KLRD1_KLRC1_3","si:ch211-193e13.5","si:dkey-26c10.5"
"KLRD1_KLRC1_4","si:ch211-170d8.8","si:ch211-193e13.5"
"KLRD1_KLRC1_5","si:ch211-170d8.8","si:ch211-170d8.8"
"KLRD1_KLRC1_6","si:ch211-170d8.8","si:dkey-26c10.5"
"KLRD1_KLRC1_7","si:dkey-26c10.5","si:ch211-193e13.5"
"KLRD1_KLRC1_8","si:dkey-26c10.5","si:ch211-170d8.8"
"KLRD1_KLRC1_9","si:dkey-26c10.5","si:dkey-26c10.5"
"KLRD1_KLRC2_1","si:ch211-193e13.5","si:ch211-193e13.5"
"KLRD1_KLRC2_2","si:ch211-193e13.5","si:ch211-170d8.8"
"KLRD1_KLRC2_3","si:ch211-193e13.5","si:dkey-26c10.5"
"KLRD1_KLRC2_4","si:ch211-170d8.8","si:ch211-193e13.5"
"KLRD1_KLRC2_5","si:ch211-170d8.8","si:ch211-170d8.8"
"KLRD1_KLRC2_6","si:ch211-170d8.8","si:dkey-26c10.5"
"KLRD1_KLRC2_7","si:dkey-26c10.5","si:ch211-193e13.5"
"KLRD1_KLRC2_8","si:dkey-26c10.5","si:ch211-170d8.8"
"KLRD1_KLRC2_9","si:dkey-26c10.5","si:dkey-26c10.5"
"NRP1_NRP2_1","nrp1a","nrp2a"
"NRP1_NRP2_2","nrp1a","nrp2b"
"NRP1_PLXNA1","nrp1a","plxna1a"
"NRP1_PLXNA2","nrp1a","plxna2"
"NRP1_PLXNA3","nrp1a","plxna3"
"NRP2_PLXNA1_1","nrp2a","plxna1a"
"NRP2_PLXNA1_2","nrp2b","plxna1a"
"NRP2_PLXNA2_1","nrp2a","plxna2"
"NRP2_PLXNA2_2","nrp2b","plxna2"
"NRP2_PLXNA3_1","nrp2a","plxna3"
"NRP2_PLXNA3_2","nrp2b","plxna3"
"PLXNA1_KDR","plxna1a","kdr"
"PTCH1_SMO","ptch1","smo"
"PTCH2_SMO","ptch2","smo"
"TGFBR1_ACVR2A_1","tgfbr1a","acvr2aa"
"TGFBR1_ACVR2A_2","tgfbr1a","acvr2ab"
"TGFBR1_ACVR2A_3","tgfbr1b","acvr2aa"
"TGFBR1_ACVR2A_4","tgfbr1b","acvr2ab"
"TGFBR1_ACVR2B_1","tgfbr1a","acvr2ba"
"TGFBR1_ACVR2B_2","tgfbr1a","acvr2bb"
"TGFBR1_ACVR2B_3","tgfbr1b","acvr2ba"
"TGFBR1_ACVR2B_4","tgfbr1b","acvr2bb"
"TGFbR1_R2_1","tgfbr1a","tgfbr2b"
"TGFbR1_R2_2","tgfbr1a","tgfbr2a"
"TGFbR1_R2_3","tgfbr1b","tgfbr2b"
"TGFbR1_R2_4","tgfbr1b","tgfbr2a"
